WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	final_definition	final_gloss	final_uni_lemma
	K15	body_parts	گوش	ear	ear				گوش	ear	ear
	K16	body_parts	لب			lip	lips		لب	lip	lip
	K17	body_parts	لُپ	cheek	cheek				لُپ	cheek	cheek
	K19	body_parts	ناخن	nails			nail (body part)		ناخن	nails	nail (body part)
	H1	furniture_rooms	اتاق خواب	bedroom	bedroom				اتاق خواب	bedroom	bedroom
	H2	furniture_rooms	آشپزخانه	kitchen	kitchen				آشپزخانه	kitchen	kitchen
	H3	furniture_rooms	آینه	mirror	mirror				آینه	mirror	mirror
	H4	furniture_rooms	بالش	pillow	pillow				بالش	pillow	pillow
	H5	furniture_rooms	بخاری	heater			radiator	see 313	بخاری	heater	radiator
	H6	furniture_rooms	پله/ راه پله	stairs	stairs				پله/ راه پله	stairs	stairs
	H7	furniture_rooms	پرده	curtain	curtain				پرده	curtain	curtain
	H9	furniture_rooms	ختخواب/رختخواب/تخت				bed	see 318 and 325. Delete ختخواب it doesn't exist.	ختخواب/رختخواب/تخت	bed	bed
	H15	furniture_rooms	شیر آب	faucet	faucet				شیر آب	faucet	faucet
	H17	furniture_rooms	ضبط	record				see 329	ضبط	record player	
	H18	furniture_rooms	فرش	carpet	carpet				فرش	carpet	carpet
	H19	furniture_rooms	کامپیوتر	computer	computer				کامپیوتر	computer	computer
	H21	furniture_rooms	گاز	gas			gas	see 311	گاز	stove	stove
	H22	furniture_rooms	گهواره	cradle	cradle				گهواره	cradle	cradle
	H23	furniture_rooms	میز	table	table				میز	table	table
	H24	furniture_rooms	یخچال	refrigerator	refrigerator				یخچال	refrigerator	refrigerator
	T1	household	آشغال	rubbish	trash				آشغال	rubbish	trash
	T2	household	بشقاب	plate	plate				بشقاب	plate	plate
	T3	household	پارچ	pitcher			pitcher	see 346	پارچ	pitcher	
	T4	household	پتو			blanket	blanket	see 348	پتو	blanket	blanket
	T5	household	پستانک			pacifier	pacifier		پستانک	pacifier	pacifier
	T6	household	پول	money	money				پول	money	money
	T7	household	تشت/ لگن			chamber pot/(plastic) tub	tub		تشت/ لگن	chamber pot / tub	
	T8	household	تلفن	phone	telephone				تلفن	phone	telephone
	T9	household	جارو/ جاروبرقی	vacuum cleaner			vacuum		جارو/ جاروبرقی	vacuum cleaner	vacuum
	T10	household	جعبه	box	box				جعبه	box	box
	T11	household	چاقو	knife	knife				چاقو	knife	knife
	T14	household	دارو/ دوا	medicine	medicine				دارو/ دوا	medicine	medicine
	T17	household	سفره	tablecloth	tablecloth				سفره	tablecloth	tablecloth
	T21	household	شیشه شیر	bottle of milk	bottle				شیشه شیر	bottle of milk	bottle
	T23	household	ظرف	container	box			see 378	ظرف	container	box
	T24	household	عکس	picture	picture				عکس	picture	picture
	T25	household	عینک	glasses	glasses				عینک	glasses	glasses
	T26	household	فنجان	cup	cup				فنجان	cup	cup
	T27	household	قاشق	spoon	spoon				قاشق	spoon	spoon
	T28	household	قندان	sugar	sugar				قندان	sugar	sugar
	T29	household	قوری				pot	see 382	قوری	teapot	teapot
	T30	household	کاسه	bowl	bowl				کاسه	bowl	bowl
	T31	household	کلید	key	keys				کلید	key	keys
	T32	household	گل/ گلدان	vase		vase	vase		گل/ گلدان	vase	vase
	T33	household	لامپ/ چراغ	lamps/lights			light (object)		لامپ/ چراغ	lamps/lights	light (object)
	T34	household	لیوان	glass	glass				لیوان	glass	glass
	T35	household	مسواک	toothbrush	toothbrush				مسواک	toothbrush	toothbrush
	T36	household	نمکدان	salt shaker			salt		نمکدان	salt shaker	
	M1	outside	آتش	fire	fire				آتش	fire	fire
	M2	outside	آسمان	sky	sky				آسمان	sky	sky
	M3	outside	الاکلنگ	seesaw			seesaw		الاکلنگ	seesaw	
	M4	outside	بازار	market	market				بازار	market	market
	M7	outside	باغچه	garden	garden				باغچه	garden	garden
	M10	outside	پشت بام	rooftop			roof		پشت بام	rooftop	roof
	M12	outside	چرخ و فلک	carousel			carousel		چرخ و فلک	carousel	carousel
	M17	outside	زیر زمین	underground			basement	see 326	زیر زمین	basement	basement
	M19	outside	ستاره	star	star				ستاره	star	star
	M20	outside	سرسره	slide	slide (object)				سرسره	slide	slide (object)
	M21	outside	شهربازی	amusement park			park		شهربازی	amusement park	
	M22	outside	فروشگاه/دکان/مغازه	shop	store				فروشگاه/دکان/مغازه	shop	store
	E1	people	أقا/ مرد			man	man		أقا/ مرد	man	man
	E2	people	آدم/ آدمها	man	man	man/woman	person		آدم/ آدمها	man / woman	person
	E3	people	اسم خودکودک	child's own name	child's own name				اسم خودکودک	child's own name	child's own name
	E5	people	برادر / داداش *	brother	brother				برادر / داداش *	brother	brother
	E6	people	بچه	baby	baby				بچه	baby	baby
	E8	people	پدربزرگ*	grandpa	grandpa				پدربزرگ*	grandpa	grandpa
	E10	people	خانم/ زن	woman	woman				خانم/ زن	woman	woman
	E11	people	خواهر/ آجی/آبجی	sister	sister				خواهر/ آجی/آبجی	sister	sister
	E12	people	دایی	uncle	uncle				دایی	uncle	uncle
	E14	people	شوهر	husband			husband		شوهر	husband	
	E18	people	مادربزرگ*	grandma	grandma				مادربزرگ*	grandma	grandma
	E19	people	نوه			grandchild	child		نوه	grandchild	
	E20	people	نی نی/ بِه بِه				baby	see 286	نی نی/ بِه بِه	baby	baby
	I1	games_routines	اتل متل توتوله					see 178	اتل متل توتوله	(traditional children's game)	
	I2	games_routines	بله	yes	yes				بله	yes	yes
	I3	games_routines	جیش	pee	pee				جیش	pee	pee
	I4	games_routines	چُرت/خواب/لالا	snooze/sleep/mute			nap	mute' is not correct.	چُرت/خواب/لالا	snooze/sleep	nap
	I5	games_routines	حمام کردن	take a bath			bath		حمام کردن	take a bath	bath
	I6	games_routines	خداحافظی	goodbye	bye				خداحافظی	goodbye	bye
	I7	games_routines	کلاغ پَر					see 197	کلاغ پَر	(traditional children's game)	
	I8	games_routines	دالّی/ داکّی					see 186	دالّی/ داکّی	peekaboo	peekaboo
	I13	games_routines	صبر کردن(وایسا)	wait	wait				صبر کردن(وایسا)	wait	wait
	I14	games_routines	لی لی حوضک				tickling	"A children's game in which the palm of a hand of a child is tickled, etc. The lemma is my proposal."	لی لی حوضک	(traditional children's game)	
	I15	games_routines	مرسی/ممنون/متشکرم	thank you	thank you				مرسی/ممنون/متشکرم	thank you	thank you
	I16	games_routines	می خوام	I want			wanna	see 679	می خوام	I want	wanna
	I17	games_routines	ناهار	lunch	lunch				ناهار	lunch	lunch
	I18	games_routines	نه	no	no				نه	no	no
	I19	games_routines	هیس/ ش				shh	see 203	هیس/ ش	hush	shh
	L1	action_words	آمدن	come	come				آمدن	come	come
	L2	action_words	آوردن	bring	bring				آوردن	bring	bring
	L3	action_words	آشتی کردن			to be friendsd again	reconcile		آشتی کردن	reconcile	
	L4	action_words	افتادن	fall	fall				افتادن	fall	fall
	L5	action_words	ایستادن	stand	stand				ایستادن	stand	stand
	L6	action_words	باز کردن	open	open (action)				باز کردن	open	open (action)
	L7	action_words	بازی کردن	play	play				بازی کردن	play	play
	L8	action_words	بردن	carry	carry				بردن	carry	carry
	L9	action_words	بستن	close	close				بستن	close	close
	L10	action_words	بوسیدن	kiss	kiss				بوسیدن	kiss	kiss
	L11	action_words	پختن	cook	cook				پختن	cook	cook
	L12	action_words	پرت کردن	throw	throw				پرت کردن	throw	throw
	L13	action_words	پریدن	jump	jump				پریدن	jump	jump
	L14	action_words	تاب خوردن	swing	swing (action)				تاب خوردن	swing	swing (action)
	L15	action_words	تکان دادن	shake	shake				تکان دادن	shake	shake
	L16	action_words	تمیزکردن/پاک کردن	clean	clean (action)				تمیزکردن/پاک کردن	clean	clean (action)
	L17	action_words	ترسیدن	fear			be scared		ترسیدن	fear	be scared
	L18	action_words	جیغ کشیدن	shrill			squeal	The lemma is my proposal.	جیغ کشیدن	squeal	
	L19	action_words	شانه کردن	comb	comb (action)				شانه کردن	comb	comb (action)
	L20	action_words	خاموش کردن	turnoff		turn off	turn off		خاموش کردن	turn off	turn off
	L21	action_words	خجالت کشیدن	be ashamed		feel shy	be shy		خجالت کشیدن	feel shy	
	L22	action_words	خندیدن	laugh	laugh				خندیدن	laugh	laugh
	L23	action_words	خوردن	eat	eat				خوردن	eat	eat
	L24	action_words	خوردن (اصابت کردن)	eat	eat	hit	hit	Eg The bullet hit the wall. 	خوردن (اصابت کردن)	hit	hit
	L25	action_words	خواندن	read	read				خواندن	read	read
	L26	action_words	خوابیدن	sleep	sleep				خوابیدن	sleep	sleep
	L27	action_words	درد گرفتن	hurt	hurt				درد گرفتن	hurt	hurt
	L28	action_words	دعا کردن	pray			pray		دعا کردن	pray	
	L29	action_words	دویدن	run	run				دویدن	run	run
	L30	action_words	دوست داشتن	love	love				دوست داشتن	love	love
	L31	action_words	دیدن/نگاه کردن	see	see				دیدن/نگاه کردن	see	see
	L32	action_words	رانندگی کردن	drive	drive				رانندگی کردن	drive	drive
	L33	action_words	راه رفتن	walk	walk				راه رفتن	walk	walk
	L34	action_words	رفتن	go	go				رفتن	go	go
	L35	action_words	زمین خوردن	fall down	fall				زمین خوردن	fall down	fall
	L36	action_words	سلام کردن	hello	hello		greet		سلام کردن	hello	hello
	L37	action_words	سینه زدن	breastfeed		pound on chest (done in mourning)		not child vocabulary although being in the list	سینه زدن	pound on chest (done in mourning)	
	L38	action_words	شناکردن	swim	swim				شناکردن	swim	swim
	L39	action_words	طبل زدن/ضربه زدن/کوبیدن	drum	drum				طبل زدن/ضربه زدن/کوبیدن	drum	drum
	L40	action_words	غذا دادن	feed	feed				غذا دادن	feed	feed
	L41	action_words	قلقلک دادن	tickle	tickle				قلقلک دادن	tickle	tickle
	L42	action_words	فوت کردن	die	die	blow	blow		فوت کردن	blow	blow
	L43	action_words	قصه گفتن	tell a story	tell				قصه گفتن	tell a story	tell
	L44	action_words	کتک زدن	beat			hit	It means to strike a person of animal	کتک زدن	beat	hit
	L45	action_words	کشیدن	draw	draw	draw/pull	pull		کشیدن	draw	draw
	L46	action_words	کمک کردن	help	help				کمک کردن	help	help
	L47	action_words	گاز گرفتن	bite	bite				گاز گرفتن	bite	bite
	L48	action_words	گریه کردن	cry	cry				گریه کردن	cry	cry
	L49	action_words	لج کردن/قهر کردن	tumble		sulk	sulk		لج کردن/قهر کردن	sulk	
	L50	action_words	لگد زدن	kick	kick				لگد زدن	kick	kick
	L51	action_words	لمس کردن/ دست زدن	touch	touch				لمس کردن/ دست زدن	touch	touch
	L52	action_words	نانای کردن/ رقصیدن	dance	dance				نانای کردن/ رقصیدن	dance	dance
	L53	action_words	نقاشی کردن	paint	paint (action)				نقاشی کردن	paint	paint (action)
	L54	action_words	نمازخواندن	pray			pray		نمازخواندن	pray	
	L55	action_words	نوشتن	write	write				نوشتن	write	write
	R2	time_words	امشب	tonight	tonight				امشب	tonight	tonight
	R3	time_words	بعداً	later	later				بعداً	later	later
	R4	time_words	حالا	now	now				حالا	now	now
	W3	descriptive_words	بداخلاق	bad-tempered			impatient		بداخلاق	bad-tempered	
	W6	descriptive_words	پُر	full	full				پُر	full	full
	W8	descriptive_words	تر / خیس	wet	wet (description)				تر / خیس	wet	wet (description)
	W9	descriptive_words	تشنه	thirsty	thirsty				تشنه	thirsty	thirsty
	W10	descriptive_words	تمییز			clean	clean (description)	correct spelling: تمیز	تمیز	clean	clean (description)
	W11	descriptive_words	تند/زود/سریع	fast	fast				تند/زود/سریع	fast	fast
	W14	descriptive_words	خاموش	off	off				خاموش	off	off
	W15	descriptive_words	خراب	broken	broken				خراب	broken	broken
	W18	descriptive_words	خوب	good	good				خوب	good	good
	W21	descriptive_words	خوش اخلاق	well-behaved		good	good	I thought 'good' is more commonly used by children than 'well-behaved'	خوش اخلاق	well-behaved	good
	W25	descriptive_words	سخت/سفت	hard	hard				سخت/سفت	hard	hard
	W27	descriptive_words	سیر			full	full	opposite of hungry	سیر	full	full
	W31	descriptive_words	کم	low		little	little (description)		کم	little	little (amount)
	W35	descriptive_words	ناز/قشنگ	cute/beautiful	cute			see also 524	ناز/قشنگ	cute/beautiful	cute
	W37	descriptive_words	یواش/آهسته	slow	slow				یواش/آهسته	slow	slow
	X1	pronouns	آن					see 449	آن	that	that
	X3	pronouns	آنها	they	they			see 450	آنها	they	
	X5	pronouns	او	she	she			see 451	او	he / she	
	X10	pronouns	مالِ من/ منِ			mine	1SG.POSS		مالِ من/ منِ	mine	
	X11	pronouns	مال تو/ توئه	yours/yours		yours	2SG.POSS		مال تو/ توئه	yours	
	X12	pronouns	مال اون/ اونه	his/hers			3SG.POSS		مال اون/ اونه	his/hers	
	Y2	question_words	چطوری/چگونه/ چه جوری	how	how				چطوری/چگونه/ چه جوری	how	how
	Y3	question_words	چی	what	what				چی	what	what
	Y5	question_words	کی(چه کسی)	who	who				کی(چه کسی)	who	who
	Y6	question_words	کجا/ کو			where/where is it	where (question)		کجا/ کو	where	where (question)
	Z1	locations	آنجا	there	there				آنجا	there	there
	Z2	locations	بالا	top	top				بالا	top	top
	Z3	locations	بیرون/ خارج	out/out			out		بیرون/ خارج	out	out
	Z4	locations	پائین	down	down				پائین	down	down
	Z5	locations	جلو	front	front				جلو	front	front
	Z6	locations	داخل/ دَر/ توی	in/out			in		داخل/ دَر/ توی	in	in
	Z10	locations	عقب / پشت	back/back			back		عقب / پشت	back	back (location)
	C3	quantifiers	همان قدر	asmuch		as much			همان قدر	as much	
	C4	quantifiers	هیچکدام	none	none				هیچکدام	none	none
	C5	quantifiers	هیچی(نه)	nothing	nothing				هیچی(نه)	nothing	nothing
	C6	quantifiers	یکی	one			one	one two three?	یکی	one	one
	C7	quantifiers	همه	all	all				همه	all	all
	C8	quantifiers	یه کمی/مقداری/ یه کم دیگه	a little (more)	little (amount)				یه کمی/مقداری/ یه کم دیگه	a little (more)	little (amount)
